DATE,CNEWPOP
1900-01-01,5579.000
1901-01-01,5624.000
1902-01-01,5719.000
1903-01-01,5809.000
1904-01-01,5906.000
1905-01-01,6009.000
1906-01-01,6131.000
1907-01-01,6254.000
1908-01-01,6364.000
1909-01-01,6472.000
1910-01-01,6565.000
1911-01-01,6629.000
1912-01-01,6729.000
1913-01-01,6883.000
1914-01-01,7034.000
1915-01-01,7137.000
1916-01-01,7198.000
1917-01-01,7267.000
1918-01-01,7180.000
1919-01-01,7304.000
1920-01-01,7454.000
1921-01-01,7574.000
1922-01-01,7668.000
1923-01-01,7756.000
1924-01-01,7852.000
1925-01-01,7946.000
1926-01-01,8018.000
1927-01-01,8076.000
1928-01-01,8095.000
1929-01-01,8130.000
1930-01-01,8175.000
1931-01-01,8193.000
1932-01-01,8220.000
1933-01-01,8254.000
1934-01-01,8296.000
1935-01-01,8361.000
1936-01-01,8391.000
1937-01-01,8409.000
1938-01-01,8427.000
1939-01-01,8438.000
1940-01-01,8449.000
1941-01-01,8556.000
1942-01-01,8573.000
1943-01-01,8404.000
1944-01-01,8336.000
1945-01-01,8320.000
1946-01-01,8838.000
1947-01-01,9038.000
1948-01-01,9232.000
1949-01-01,9379.000
1950-01-01,9316.000
1951-01-01,9289.000
1952-01-01,9358.000
1953-01-01,9628.000
1954-01-01,9833.000
1955-01-01,9871.000
1956-01-01,9928.000
1957-01-01,10030.000
1958-01-01,10219.000
1959-01-01,10437.000
1960-01-01,10532.000
1961-01-01,10666.000
1962-01-01,10800.000
1963-01-01,10986.000
1964-01-01,11186.000
1965-01-01,11329.000
1966-01-01,11430.000
1967-01-01,11562.000
1968-01-01,11637.000
1969-01-01,11735.000
1970-01-01,11847.245
1971-01-01,11993.184
1972-01-01,12082.333
1973-01-01,12139.760
1974-01-01,12146.166
1975-01-01,12163.307
1976-01-01,12191.684
1977-01-01,12239.423
1978-01-01,12283.107
1979-01-01,12321.712
1980-01-01,12371.656
1981-01-01,12435.782
1982-01-01,12467.917
1983-01-01,12544.351
1984-01-01,12641.840
1985-01-01,12740.543
1986-01-01,12833.004
1987-01-01,12951.229
1988-01-01,13084.523
1989-01-01,13181.737
1990-01-01,13220.022
1991-01-01,13200.917
1992-01-01,13187.671
1993-01-01,13215.512
1994-01-01,13242.751
1995-01-01,13282.700
1996-01-01,13328.837
1997-01-01,13378.075
1998-01-01,13428.630
1999-01-01,13495.933
2000-01-01,13949.721
2001-01-01,14041.043
2002-01-01,14122.441
2003-01-01,14182.454
2004-01-01,14206.683
2005-01-01,14216.656
2006-01-01,14245.540
2007-01-01,14279.205
2008-01-01,14340.115
2009-01-01,14403.575
2010-01-01,14469.951
2011-01-01,14532.793
2012-01-01,14593.505
2013-01-01,14648.928
2014-01-01,14708.239
2015-01-01,14735.319
2016-01-01,14765.334
2017-01-01,14806.708
2018-01-01,14839.608
2019-01-01,14849.662
2020-01-01,15101.332
2021-01-01,15092.739
